,Albania,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Mongolia,EMDE Middle East & N. Africa,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995Q1,NA,7878783,66817.36,177682.2,74092.84,90307.39,8073.238,NA,NA,NA,2670.593,331248.7,1836.162,271605.7,109388.4,NA,341101,NA,NA,4675.327,3871.288,NA,744227.2,66624.71,541568.5,NA,NA,NA,2157503,247164.1,2647.928,41515.76,517249.6,447152.7,NA,NA,52957.59,NA,8380914,33586.31,NA,NA,24649.48,100851.1,NA,27816.19,1936.411,33089.99,485817.7,3022.088,1243186,NA,NA,138489.6,NA,719703.1,NA,NA,4909.769,8014.064,3189.657,NA,188728.9,1688284,NA,NA,NA,NA,NA,NA,NA,154100.9,78989.39,22535.97,NA,26472.24,NA,46704.7,4547.667,NA,29721.19,229325.2,NA,NA,24170.34,3897.619,6232.155,NA,12395.97,7791.647,83604.28,48959.57,NA,100827.4,53835.48,NA,NA,2519742,10108047,61133.16
1995Q2,NA,7924380,64120.64,178510.8,75018.48,90766.67,9017.278,NA,NA,NA,2664.459,326400.6,1734.688,271721.1,109614.7,NA,350979.6,NA,NA,4649.849,3946.763,NA,750283.1,66356.67,555130.2,513310.5,NA,NA,2161379,248786.6,2621.593,42626.32,520641,448093.1,NA,NA,53525.83,NA,8429302,33518.56,NA,NA,24596.45,102723.6,NA,28180.43,1983.386,33795.85,486158.1,3055.568,1255124,NA,NA,141289.6,NA,697309.7,NA,NA,5035.827,8100.216,3185.739,NA,177339.4,1689943,NA,NA,NA,NA,NA,NA,NA,155309.2,79432.44,22913.06,NA,26495.33,58739.91,47243.11,4672.67,NA,29081.89,230650.3,NA,NA,24897.14,3989.322,6555.9,NA,12663.32,7831.948,84176.79,50141.59,NA,107459.2,55137.65,NA,NA,2527221,10159755,61308.88
1995Q3,NA,7985642,66207.96,182639.9,75421.26,91467.75,9067.164,NA,NA,NA,2718.879,320934.8,1823.865,272080.2,110276.1,NA,360485.3,NA,NA,4649.256,3935.47,NA,751595,66603.61,565850.7,523683,NA,NA,2188202,249893.1,2611.778,42442.04,521453.9,453088.2,NA,NA,53819.25,NA,8498742,33461.91,NA,NA,24587.24,103527.4,NA,28379.3,1968.325,34166.72,488320.5,2986.797,1269766,NA,NA,144222.6,NA,697721.6,NA,NA,5030.445,8184.124,3138.725,NA,181131.3,1707619,NA,NA,NA,NA,NA,NA,NA,156531.4,80639.37,22930.23,NA,26635.49,66212.49,47461.76,4592.261,NA,28746.7,230367,NA,NA,25884.39,3947.306,6219.432,NA,12334.18,7858.032,84395.1,49933.74,NA,110319.5,55827.35,NA,NA,2548768,10246519,61715.67
1995Q4,NA,8024017,66795.75,182607.8,76004.17,91731.53,9862.994,NA,NA,NA,2757.603,322853.8,1941.292,273178.3,110019.3,NA,368169.9,NA,NA,4669.423,3929.685,NA,751899.5,67039.46,576739.7,513381.6,NA,NA,2198821,251774.3,2639.862,42467.84,521248.5,454521,NA,NA,54242.92,NA,8531937,33905.75,NA,NA,24485.19,104961.8,NA,28822.04,1976.69,34390.93,492364.9,2999.822,1272852,NA,NA,146920.4,NA,705725.6,NA,NA,5152.468,8255.524,3152.808,NA,185277.2,1725672,NA,NA,NA,NA,NA,NA,NA,157646.7,81286.11,23170.65,NA,27061.46,67139.49,47790.05,4576.292,NA,27209.2,224545.7,NA,NA,26136.59,3953.159,6009.829,NA,12704.43,7882.323,85276.31,50791.44,NA,106913.2,55703.39,NA,NA,2566042,10295842,61923.26
1996Q1,NA,8073716,66281.66,185458,76036.69,91321.99,9989.366,NA,NA,NA,2763.509,323394,1829.84,273574.7,110483.1,28246.16,377140.9,NA,NA,4667.435,3984.501,37763.23,746593.3,67228.7,588895.1,520429,NA,NA,2229644,253212.6,2665.614,43220.91,524871.3,457564.4,NA,NA,54168.49,NA,8586846,34434.32,NA,NA,24696.45,106688.6,NA,30035.12,2055.345,34813.34,493391,2988.144,1283473,NA,NA,149723.8,NA,711032.1,NA,NA,5192.624,8355.129,3145.079,NA,189615.8,1750841,NA,NA,NA,NA,NA,NA,NA,157828.1,83495.54,23320.92,NA,27882.86,68012.28,48105.65,4644.962,NA,30503.57,224243,NA,NA,27025.74,3958.92,6433.197,NA,13040.14,7964.442,85891.99,50884.8,NA,108686.8,57180.57,NA,NA,2585273,10373595,63070.39
1996Q2,NA,8162409,67382.98,186638.1,76613.34,92013.81,9872.909,NA,NA,NA,2810.288,327512.1,1964.861,275522.3,110143.5,28526.17,384475.4,NA,NA,4667.999,3948.416,37991.68,757006.6,68951.34,602971.7,526488.4,NA,NA,2265070,254982.7,2711.286,43563.66,525883.4,458969.6,NA,NA,54125.55,NA,8676637,34675.3,NA,NA,24500.56,109925.4,150066.5,30468.44,2063.286,35471.52,494215.1,3062.194,1299693,NA,NA,152748.4,NA,719610.2,NA,NA,5159.505,7778.506,3145.608,NA,191626.8,1786958,NA,NA,NA,NA,NA,NA,NA,160099.3,83421.69,23605.7,NA,28179.98,69508.57,48761.74,4657.574,NA,30346.87,222707.8,NA,NA,26991.32,3911.41,6613.848,NA,13090.19,8022.27,85175.73,53464.46,NA,114516.3,58437.17,NA,NA,2628367,10496525,63821.83
1996Q3,NA,8216356,71732.02,188112,77092.42,92507.8,9398.492,NA,NA,NA,2841.738,338862,1955.599,277836.4,110062.5,28810.4,394684.1,NA,NA,4745.066,3950.62,38208.91,759630.4,69074.32,615986.2,524604.3,NA,NA,2299298,257048.1,2796.217,43793.39,527913.8,463203.3,NA,NA,54546.36,NA,8725890,35142.39,NA,NA,24452.77,112082.2,148287.6,30165.96,2027.108,35950.28,495192.2,3104.812,1301261,NA,NA,155435.1,NA,741316.9,NA,NA,5341.659,8382.39,3245.99,NA,194447.6,1827186,NA,NA,NA,NA,NA,NA,NA,162427.5,85214.31,23946.3,NA,28125.05,70134.13,49428.26,4680.572,NA,29412.95,217840.7,153588.4,NA,26984.17,4012.525,6654.595,NA,13512.29,8126.61,85694.77,53587.08,NA,118462.5,59107.5,NA,NA,2651962,10582799,64582.26
1996Q4,NA,8287080,72982.2,189899.5,77089.92,93243.59,9195.795,NA,NA,NA,2863.935,336349.5,1761.012,280037.7,110527.1,29224.09,405584.3,NA,NA,4814.521,3995.244,38211.4,766494.5,69090.8,631475.5,518637.7,NA,NA,2325050,258338.8,2854.717,44660.71,529944.2,469667.2,NA,NA,54878.43,NA,8795851,35946.97,NA,NA,24759.77,115729.9,154680.7,30646.37,2078.275,36525.61,493487.8,3127.38,1315786,NA,NA,158064.5,NA,747521.2,NA,NA,5377.366,8504.064,3402.386,NA,200610.3,1854769,NA,NA,NA,NA,NA,NA,NA,163406.7,84322.58,24013.56,NA,28706.03,68450.91,49534.21,4691.092,NA,28980.04,217644.4,160210,NA,27711.04,4037.644,6797.318,NA,13495.65,8245.027,86501.12,53255.82,NA,115110,59398.27,NA,NA,2679563,10679124,65188.14
1997Q1,NA,8339255,71837.49,191229,78071.86,94135.56,8278.771,NA,NA,NA,2893.382,339746.9,1944.754,283790,111783.9,29886.84,414184.4,NA,NA,4816.029,4010.67,37990.19,762863.3,70033.55,637558,528405,NA,NA,2348480,260920.2,2957.722,45179.13,532207.2,477173.7,NA,NA,55256.3,NA,8858435,36487.51,NA,NA,24978.48,114462.8,155431.2,32218.47,2161.702,36961.27,494911.8,3158.373,1318989,NA,NA,158804.3,NA,751796.2,NA,NA,5485.726,8535.81,3378.032,NA,201320.5,1866802,NA,NA,NA,NA,NA,NA,NA,164755.7,87370.5,23913.39,NA,29362.08,72078.81,50354.91,4733.165,NA,29413.06,223089.7,160987.4,NA,28557.32,4088.073,6832.843,NA,13827.58,8321.349,87040.94,51077.66,NA,115135.6,60529.38,NA,7731.154,2696837,10754075,65490.74
