,Albania,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Mongolia,EMDE Middle East & N. Africa,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,NA,31811706,263941.7,721440.7,300536.7,364273.3,36020.68,NA,NA,NA,10811.53,1301438,7336.007,1088585,439298.5,NA,1420736,NA,NA,18643.85,15683.21,NA,2998005,266624.5,2237377,NA,NA,NA,8390172,997618.2,10521.16,169052,2080593,1802855,NA,NA,214545.6,NA,33790823,134472.5,NA,NA,98318.35,412063.9,NA,113198,7864.813,135443.5,1952661,12064.28,5040929,NA,NA,570922.1,NA,2820736,NA,NA,20128.51,32553.93,12666.93,NA,732476.7,6572201,NA,NA,NA,NA,NA,NA,NA,623588.2,320347.3,91549.91,NA,106664.5,192091.9,189199.6,18388.89,NA,114759,914888.2,NA,NA,101088.5,15787.41,25017.32,NA,50097.91,31363.95,337452.5,199826.3,NA,425519.3,220503.9,NA,NA,10161774,40541300,246081
1996,NA,32739377,278378.9,750107.6,306832.4,369087.2,38456.56,NA,NA,NA,11279.47,1326118,7511.312,1106971,441216.2,114806.8,1561885,NA,NA,18895.02,15878.78,152175.2,3029725,274345.2,2437245,2092116,NA,NA,8872008,1023582,11027.83,175238.7,2108613,1849405,NA,NA,217718.8,NA,34795708,140199,NA,NA,98409.55,444426.2,453034.8,121315.9,8224.013,142760.7,1976286,12282.53,5200214,NA,NA,615971.8,NA,2921165,NA,NA,21071.15,33020.09,12939.06,NA,776300.5,6973953,NA,NA,NA,NA,NA,NA,NA,643761.5,336454.1,94886.48,NA,112893.9,276105.9,195829.8,18674.2,NA,119243.4,882435.9,NA,NA,108712.3,15920.5,26498.96,NA,53138.26,32358.35,343263.6,211192.2,NA,456775.6,234123.5,NA,NA,10545166,41920772,256662.6
1997,NA,33848979,300949.2,785460.1,313689.7,383089.1,32924.43,NA,NA,NA,11834.54,1375538,8048.923,1154351,451075.8,123456.3,1707284,NA,NA,19939.97,16298.17,151233.5,3088421,283037.6,2611684,2153779,NA,NA,9514427,1060312,12469.62,186448.7,2161647,1940481,NA,NA,225638.4,NA,35951179,147348.8,NA,NA,101339.5,465713.3,625751.3,134076.8,8698.678,148698.3,2015329,12744.21,5252569,NA,NA,653980.7,NA,3082342,NA,NA,22830.59,34797.99,14140.46,NA,834042.7,7574822,NA,NA,NA,NA,NA,NA,NA,672148.6,354234.4,97878.16,NA,118739.7,293238.5,204448,19467.9,NA,113461.2,893444.9,648783.8,NA,117740.4,16414.93,28833.51,NA,56014.24,33952.29,354558.9,205451,NA,490623.4,248291.3,NA,32837.01,11014212,43643455,263335.7
1998,NA,34748425,312429.1,822151.8,324494.7,390604.3,34214.57,NA,NA,NA,12428.37,1380438,7920.324,1199289,464321.8,128618.9,1840580,NA,NA,21359.88,17294.08,150648.8,3146602,289622.2,2670586,2125326,NA,NA,9687266,1105930,13043.15,196618.2,2236571,2006509,NA,NA,233357.5,NA,36840233,138680.8,NA,NA,105187,405022.8,663433.6,146132.3,9339.142,153980.8,2048314,13153.64,5183332,NA,NA,620435.1,NA,3169446,NA,NA,24582.27,37114.39,15089.22,63222.64,885805,7772804,NA,NA,NA,NA,NA,NA,NA,702788.3,363687.8,98776.16,NA,118232.2,306554.4,214277.8,19506.49,NA,111158.2,847693,687853,NA,115204.2,16843.97,30453.7,NA,58152.23,34956.07,369272.7,189673.3,NA,492792.6,258731.5,NA,34324.81,11507833,44732271,264652.4
1999,NA,35919081,301986.4,858627.3,336360.4,404442,31358.14,NA,NA,NA,12477.49,1386899,8569.005,1260944,471884.1,128030.8,1983532,17985.82,NA,22272.34,18158.75,152523.4,3209234,298216.1,2836250,2174681,NA,NA,10010342,1154722,12976.68,205249.6,2309499,2067875,NA,NA,239326.1,NA,38091584,142157.1,NA,NA,108309.8,408036.8,709414.3,160887.2,9715.965,160117.8,2081677,13567.65,5170574,54667.49,NA,691580,NA,3192098,NA,NA,24315.04,40148.45,15474.12,63557.42,910098.8,8019810,NA,NA,NA,NA,NA,NA,NA,737486.6,371223.6,103362.8,NA,121876,320459.3,222648.7,19209.55,NA,110739.5,898063.4,735526.1,NA,121747.6,17205.24,27298.09,NA,57874.93,36732.19,383804.5,198465,NA,476598.7,276149.2,NA,33669.94,12058971,46236350,271004.1
2000,NA,37382444,299678.3,885234.2,347857.2,419474.7,32680.04,NA,12601,NA,12788.76,1446778,8911.75,1325739,491290.6,134890.4,2152526,18625.32,186607.6,23135.22,19241.99,159059.1,3308927,309321.5,3047232,2340646,44646.79,NA,10610335,1214724,14256.48,217056.6,2409677,2157654,NA,NA,249472.8,NA,39698411,153051.2,10312.91,47211.7,113339.9,428133.4,749633.6,174488.6,10200.32,173457.9,2169222,14145.53,5311484,60008.19,NA,755366.6,NA,3313994,NA,NA,25132.36,42927.71,16382.11,64569.77,953520.6,8474471,7198.342,7319.108,NA,NA,NA,NA,NA,769335.8,383544.3,107418.5,NA,125678.5,335399.2,231145.5,18781.02,7133.377,113465,988368,777225.9,NA,132747.1,17396.42,29012.44,NA,58299.67,38191.01,402314.2,207304,31693.32,509954.1,293586,NA,33019.32,12550632,48292596,282386.3
2001,NA,37949845,286415.2,908255.9,352327.8,424087.2,33950.6,NA,12905.98,NA,13008.93,1468145,9128.795,1350597,499214.8,139207.4,2332644,19438.51,189738.8,23941.17,20002.39,163680.6,3366909,312260.2,3263203,2390282,46524.76,82759.02,10960064,1262335,15090.83,222790,2454311,2213166,NA,NA,261199.6,29113.57,40344567,153909.6,10593.8,48665.33,117955.6,443573,778794.3,184196.4,10609.7,174060.9,2209457,14859.02,5332349,68087.18,NA,791064.7,NA,3329777,NA,NA,26799.79,44242.63,17411.44,69445.98,951194.4,8740806,6967.895,7263.906,NA,NA,NA,NA,NA,787325.1,391472.6,109925.7,NA,129498.3,340246.7,235638,18641.48,6459.348,119385.9,1038228,807459.9,NA,131347.3,17546.41,30892.08,NA,60012.34,39314.18,408516.8,214429,32896.48,480103.2,289470.4,91644.87,31750.05,12670565,49199238,290010.7
2002,NA,38509270,255431.4,946033.3,357533.9,431325.9,35904.33,NA,13549.23,NA,13338.36,1512544,9798.019,1391105,498937.8,143363.9,2544574,20262.41,194489.9,24764.97,20746.95,166057.1,3360548,313685.8,3524228,2507818,48817.54,170059.8,11536933,1297185,16145.27,226549.2,2481933,2252907,NA,NA,273500.4,30238.74,40984924,156459.4,10991.5,51470.07,123527.8,463391.4,814702.6,194456.9,10669.07,173808.3,2214886,15834.18,5332631,74742.53,NA,852324.7,NA,3353333,NA,NA,28550.12,45674.28,18729.96,71748.84,948896.6,9226557,7054.284,7463.328,NA,NA,NA,NA,NA,789325.4,396865.4,115535.6,NA,134156,346840.6,237454.6,18643.33,5645.272,126194.4,1087405,844689.9,NA,136440.4,17813.6,32901.86,NA,62656.91,40563.49,417733.3,227605,33331.59,510852,305344,96477.06,29308.31,12886034,50312988,300742.2
2003,NA,39254192,278220,974561.1,361492.9,435802,37787.7,NA,14078.13,NA,13699.69,1530224,10328.23,1416234,498390.9,149940.7,2799393,21187.33,202110.5,25831.54,21291.26,171536.3,3342264,315069.6,3838042,2660937,50225.68,176280,12196999,1335282,17405.54,231105.7,2506678,2323926,8215.444,NA,289356.7,31016.31,41849957,161241.3,11491.27,54339.75,128265.3,485444.3,870759.3,202865.8,10897.67,176514.2,2218176,16470.31,5416595,81644.83,NA,878531.3,NA,3427175,NA,NA,31556.9,46879.1,20327.06,76280.92,960405.3,9754947,7206.114,7738.023,NA,NA,NA,NA,NA,790723.2,400615.5,120781.2,NA,141050.3,359124.3,235245,19425.81,6446.426,129148.8,1166587,902809.9,NA,142593.2,18093.41,34418,NA,65743.52,41830.33,426081.5,243894.5,34899,541334.1,318243.4,105775.6,29494.37,13246277,51694933,309611.2
